text,risk_group,asset_type,question_type,question_group,relative_vul_group,value_type,question_number,root_risk,threat_type,perceived_threat,description,control_nist,
"If a threat actor gains physical access to lost or stolen electronic devices belonging to your organization, how likely is it for them to exploit the sensitive supplier information stored on those devices?",Hardware Risk,USER ELECTRONICS,LIKELIHOOD,user_electronics_group1,user_elc_group_vul_1,THREAT,threat_101,lack of physical security and device management,"Data breach, data loss incident, IoT data disclosure, or visual information leakage",Data breach or visual information leakage," The risk of sensitive supplier information exploitation arises when electronic devices containing this information are lost or stolen and fall into the hands of unauthorized individuals. When a threat actor gains physical access to these devices, they have the potential to extract and misuse the stored data.

Sensitive supplier information, such as contracts, pricing details, strategic plans, or intellectual property, can be highly valuable to competitors, cybercriminals, or other malicious actors. Exploitation of this information can result in financial losses, disrupted supply chain operations, damaged supplier relationships, and even legal consequences.",(MP) Media Protection,
How large would be the potential impact if user electronic devices containing sensitive information were lost or stolen?,Hardware Risk,USER ELECTRONICS,IMPACT,user_electronics_group1,user_elc_group_vul_1,IMPACT,impact_101,potential consequences of lack physical security and device management,"Data breach, data loss incident, IoT data disclosure, or visual information leakage",Data breach or visual information leakage, ,(MP) Media Protection,
"How likely is it that an external supplier could introduce malware or other malicious software into your organization's network through unauthorized use of electronic devices (e.g., USB sticks, external hard drives, smartphones)?",Hardware Risk,USER ELECTRONICS,LIKELIHOOD,user_electronics_group2,"user_elc_group_vul_2,
user_elc_group_vul_3,
user_elc_group_vul_4",THREAT,threat_101,lack of proper malware and virus protection,"Data breach, data loss incident, IoT data disclosure, or visual information leakage",Data breach," Malicious software can be introduced into an organization's network when an external supplier, either intentionally or unintentionally, connects an electronic device contaminated with malware to the organization's systems. This can happen when a supplier uses a device for data transfer, software installation, or other legitimate purposes. Devices such as USB sticks, external hard drives, smartphones, and other portable electronic devices are common culprits in this scenario.

Once the infected device is connected to the organization's network, the malicious software can execute automatically, spread across the network, and compromise systems, data, and operations. Consequences can include unauthorized access to sensitive supply chain information, disruption of supply chain operations, data corruption or loss, and potential financial and reputational damage.",(MP) Media Protection,
What would be the impact on the organization if  an external supplier introduce malware or other malicious software into your organization's network through unauthorized use of USB sticks or other external devices?,Hardware Risk,USER ELECTRONICS,IMPACT,user_electronics_group2,"user_elc_group_vul_2,
user_elc_group_vul_3,
user_elc_group_vul_4",IMPACT,impact_101,potential consequences of lack of proper malware and virus protection,"Data breach, data loss incident, IoT data disclosure, or visual information leakage",none, ,(MP) Media Protection,
"How likely is it that your organization's IoT device would have weak, guessable, or hardcoded passwords?",Hardware Risk,IoT,LIKELIHOOD,IoT_group,IoT_group_vul_1,VULNERABILITY,vul_1701,"weak, guessable, or hardcoded passwords",,,"This vulnerability can arise if your organization does not enforce strong password policies for IoT devices. Weak passwords or hardcoded credentials in firmware can make devices susceptible to brute force or dictionary attacks, leading to unauthorized access and control.",M (Configuration Managementn) and (Access Control)  (IoT) ,
"How likely is it that your organization would use insecure network services for IoT devices? (i.e., IoT devices often provide network services exposed to attack. These services can have vulnerabilities or be misconfigured, allowing an attacker to exploit them.)",Hardware Risk,IoT,LIKELIHOOD,IoT_group,IoT_group_vul_2,VULNERABILITY,vul_1702,use of insecure network services,,,"If your organization allows IoT devices to provide network services without a proper security review or hardening measures, you might expose your network to attack. Vulnerabilities in these services or misconfigurations could be exploited by attackers for unauthorized access or control over the devices.",M (Configuration Managementn) and (Access Control)  (IoT) ,
"How likely is it that your organization would use insecure ecosystem interfaces for IoT devices that interact with device data or allow control of the device, such as web, backend API, cloud, or mobile interfaces?",Hardware Risk,IoT,LIKELIHOOD,IoT_group,IoT_group_vul_3,VULNERABILITY,vul_1703,insecure ecosystem interfaces,,,"IoT devices often interact with various interfaces such as web, backend API, cloud, or mobile interfaces. If your organization has not adequately secured these interfaces (e.g., through proper authentication, input validation, and encryption), attackers might exploit them to manipulate device data or execute unauthorized commands.",M (Configuration Managementn) and (Access Control)  (IoT) ,
How likely is it that your organization would lack a secure update mechanism for IoT devices?,Hardware Risk,IoT,LIKELIHOOD,IoT_group,IoT_group_vul_4,VULNERABILITY,vul_1704,lack of secure update mechanism,,,"A secure mechanism for updating IoT devices is crucial for maintaining their security posture over time. If your organization does not have a robust, secure system for deploying updates to IoT devices, they might become susceptible to known exploits present in outdated software versions. Additionally, an insecure update mechanism could be exploited by attackers to deploy malicious firmware.",M (Configuration Managementn) and (Access Control)  (IoT) ,
"How likely is it that your organization would use insufficient privacy protection for IoT devices and data stored in them, i.e., user data collected and stored by the device or transmitted from it may need to be adequately protected?",Hardware Risk,IoT,LIKELIHOOD,IoT_group,IoT_group_vul_7,VULNERABILITY,vul_1707,insufficient privacy protection,,,"If user data collected and stored by the IoT device, or transmitted from it, is not adequately protected, it could be intercepted, leading to privacy violations and potential regulatory penalties. This can occur due to weak data access controls or insufficient data anonymization.",M (Configuration Managementn) and (Access Control)  (IoT) ,
How likely is it that IoT data transferred over the network or stored on the device may not be appropriately encrypted?,Hardware Risk,IoT,LIKELIHOOD,IoT_group,IoT_group_vul_8,VULNERABILITY,vul_1708,lack of data encryption,,,"If data transferred over the network or stored on the device is not appropriately encrypted, it can be intercepted and read by attackers. This could lead to the exposure of sensitive data, which may have serious implications for your organization's privacy and security.",M (Configuration Managementn) and (Access Control)  (IoT) ,
"How likely is it that IoT devices have default settings that favor ease of use or functionality over security, leaving the device vulnerable until those settings are changed?",Hardware Risk,IoT,LIKELIHOOD,IoT_group,IoT_group_vul_9,VULNERABILITY,vul_1709,default settings favoring ease-of-use over security,,,"Many IoT devices come with default settings that prioritize ease of use or functionality over security. If these settings are not changed to more secure configurations, the device could be left vulnerable to various forms of attack, including unauthorized access or data breaches.",M (Configuration Managementn) and (Access Control)  (IoT) ,
"How likely is it that IoT devices in your organization's infrastructure would lack physical security, leading to physical attacks that can result in unauthorized access, tampering, or damage?",Hardware Risk,IoT,LIKELIHOOD,IoT_group,IoT_group_vul_10,VULNERABILITY,vul_1710,lack of physical security,,,"IoT devices without adequate physical security could be susceptible to physical attacks, resulting in unauthorized access, tampering, or damage. This can include physical extraction of data, modification of device firmware, or damage to the device's function.",M (Configuration Managementn) and (Access Control)  (IoT) ,
"How likely is it that IoT devices in your organization's infrastructure would be used with known software vulnerabilities? For instance, if implementing new security patches could impact the system's functionality, users may prioritize functionality over security and delay implementing software security updates.",Hardware Risk,IoT,LIKELIHOOD,IoT_group,IoT_group_vul_11,VULNERABILITY,vul_1711,unpatched software vulnerabilities,,,"Unpatched software vulnerabilities in IoT devices can be remotely exploited by attackers by sending specially crafted data over the network. This could lead to a range of security issues, from unauthorized access to the disruption of the device's operation.",M (Configuration Managementn) and (Access Control)  (IoT) ,
How likely is it that your organization would ignore additional security tests on IoT devices to detect counterfeited IoT devices?,Hardware Risk,IoT,LIKELIHOOD,IoT_group,IoT_group_vul_12,VULNERABILITY,vul_1712,ignorance of additional security tests,,,This question addresses the vulnerability associated with the lack of adequate verification or testing procedures to identify counterfeit or tampered IoT devices before they are integrated into the organization's infrastructure. Counterfeit devices might come with pre-installed malware or have hidden backdoors that could pose significant security risks.,M (Configuration Managementn) and (Access Control)  (IoT) ,
How likely is it that IoT devices in your organization's infrastructure would lack transport encryption can lead to data as it's being transmitted between devices or between a device and a server?,Hardware Risk,IoT,LIKELIHOOD,IoT_group,IoT_group_vul_13,VULNERABILITY,vul_1713,lack of transport encryption,,,"Without transport encryption, data as it's being transmitted between devices or between a device and a server can be intercepted by attackers, potentially leading to data breaches.",M (Configuration Managementn) and (Access Control)  (IoT) ,
"How likely is it that IoT devices in your organization's infrastructure would lack device authentication, leading malicious devices to join the network and either passively monitor data or launch active attacks?",Hardware Risk,IoT,LIKELIHOOD,IoT_group,IoT_group_vul_15,VULNERABILITY,vul_1715,lack of device authentication,,,"This question focuses on the vulnerability associated with inadequate device authentication mechanisms in the organization's IoT infrastructure. When devices are not authenticated properly, malicious or unauthorized devices can easily join the network and gain access to sensitive data or launch attacks.",M (Configuration Managementn) and (Access Control)  (IoT) ,
"How likely is it that IoT devices in your organization's infrastructure would lack network segmentation? (Devices on the same network can communicate with each other, leading to a rapid spread of attacks if not adequately segmented and isolated)",Hardware Risk,IoT,LIKELIHOOD,IoT_group,IoT_group_vul_16,VULNERABILITY,vul_1716,lack of network segmentation,,,"Network segmentation is an important security practice that isolates devices within separate network segments to contain potential security breaches and prevent them from spreading across the network. A lack of network segmentation implies that IoT devices can freely communicate with each other without restrictions, creating an environment conducive for lateral movement of an attacker after gaining access to a single device.",M (Configuration Managementn) and (Access Control)  (IoT) ,
"How likely is it that IoT devices in your organization's infrastructure would be disposed of without proper control? (Old IoT devices can provide a wealth of information for malicious actors, including access to old data and user accounts.)",Hardware Risk,IoT,LIKELIHOOD,IoT_group,IoT_group_vul_17,VULNERABILITY,vul_1717,improper control of device disposal,,,"The absence of proper policies and procedures for disposing of old IoT devices creates this vulnerability. When decommissioned devices are not correctly sanitized or securely disposed of, sensitive information stored on them may be retrievable. This could lead to unauthorized access to archived data or user accounts, providing a wealth of information that could be used for malicious activities.",M (Configuration Managementn) and (Access Control)  (IoT) ,
"How likely is it that a user could leave a hardware product with a default or weak password, creating a vulnerability that an attacker can exploit?",Hardware Risk,COMPANY HARDWARE,LIKELIHOOD,hardware_group_vul,hardware_group_vul_1,VULNERABILITY,vul_1601,insufficient password policies and lack of user awareness, , ," This vulnerability arises when users don't change default passwords or set weak passwords on hardware devices. Default passwords are often widely known or easily accessible, and weak passwords can be quickly cracked. This could grant unauthorized users easy access to the system, allowing them to change configurations, steal sensitive data, or deploy malware.", ,
"How likely is it that a user could postpone patching a hardware system, thereby increasing the likelihood of a vulnerability being exploited by an attacker?",Hardware Risk,COMPANY HARDWARE,LIKELIHOOD,hardware_group_vul,hardware_group_vul_2,VULNERABILITY,vul_1602,insufficient patch management, , ," Users postponing necessary patches for hardware devices can create a vulnerable window of opportunity for attackers. These patches often address known vulnerabilities that, if left unpatched, can be exploited, giving an attacker unauthorized access to the system.", ,
"How likely is it that hardware devices that could be improperly configured, which could lead to vulnerabilities that a malicious actor with physical access could exploit?",Hardware Risk,COMPANY HARDWARE,LIKELIHOOD,hardware_group_vul,hardware_group_vul_4,VULNERABILITY,vul_1604,improper configuration or  configuration errors,,,"Improperly configured hardware devices can lead to vulnerabilities, exposing the system to attacks. This can occur when security controls are not properly implemented or when default settings that may favor ease of use over security are not changed. A malicious actor with physical access could exploit these vulnerabilities to gain unauthorized access or manipulate the device.",,
"How likely is it that hardware devices might have insecure interfaces (e.g., an accessible debugging port or a port intended for maintenance) to provide an entry point for an attacker with physical access?",Hardware Risk,COMPANY HARDWARE,LIKELIHOOD,hardware_group_vul,hardware_group_vul_5,VULNERABILITY,vul_1605,insecure hardware interfaces,,,"Hardware devices can have insecure interfaces like debugging ports or maintenance ports that can serve as entry points for attackers. If not secured correctly, these interfaces can be exploited by an attacker with physical access, potentially allowing them to take control of the device or to access sensitive data.",,
How likely is it that your organization has outdated hardware that no longer receives updates or has known unpatched vulnerabilities?,Hardware Risk,COMPANY HARDWARE,LIKELIHOOD,hardware_group_vul,hardware_group_vul_6,VULNERABILITY,vul_1606,outdated hardware,,,Outdated hardware that no longer receives updates or has known unpatched vulnerabilities poses a significant security risk. Attackers can exploit these known vulnerabilities to gain unauthorized access to the system or to execute malicious code.,,
"How likely is it that your organization's access policy might not be adequate, which could lead attackers to gain physical access to devices and exploit vulnerabilities, manipulate the device, or insert malicious components? ",Hardware Risk,COMPANY HARDWARE,LIKELIHOOD,hardware_group_vul,hardware_group_vul_7,VULNERABILITY,vul_1607,inadequate access policy  ,,,"Without adequate access policies, unauthorized individuals could potentially gain physical access to devices, providing them with the opportunity to exploit vulnerabilities, manipulate the device, or insert malicious components.",,
How likely is it that your organization  may fail to implement additional security tests on hardware products against the potential hardware that has been counterfeited or tampered with prior to the acquisition? (It could contain hidden vulnerabilities or backdoors that an attacker could exploit.),Hardware Risk,COMPANY HARDWARE,LIKELIHOOD,hardware_group_vul,hardware_group_vul_8,VULNERABILITY,vul_1608,counterfeit/Tampered Hardware,,,"Without proper security testing of hardware products, hidden vulnerabilities or backdoors could go unnoticed. These could have been intentionally included in counterfeited or tampered products, potentially allowing attackers to exploit them after the hardware has been integrated into the system.",,
"How likely is it that your organization would not regularly vet its vendors and their practices, potentially introducing malicious components into your systems? ",Hardware Risk,COMPANY HARDWARE,LIKELIHOOD,hardware_group_vul,hardware_group_vul_14,VULNERABILITY,vul_1614,inadequate vendor vetting,,,"If vendors and their practices are not regularly vetted, it could lead to the introduction of malicious components into the system. This could compromise the system security and potentially lead to data breaches.",,
How likely is it that your organization would lack sufficient physical and logical access controls to the main hardware devices(not include IoT devices)?,Hardware Risk,COMPANY HARDWARE,LIKELIHOOD,hardware_group_vul,hardware_group_vul_15,VULNERABILITY,vul_1615,lack of sufficient physical and logical access controls,,,"Without adequate physical and logical access controls, unauthorized users could gain access to main hardware devices. This could lead to unauthorized changes, data theft, or the introduction of malicious components.",,
How likely is it that your organization would lack adequate monitoring and auditing of hardware use and changes? Unauthorized modifications could go undetected without proper monitoring and auditing of hardware use and changes.,Hardware Risk,COMPANY HARDWARE,LIKELIHOOD,hardware_group_vul,hardware_group_vul_16,VULNERABILITY,vul_1616,lack of monitoring and auditing of hardware use and changes,,,"Without adequate monitoring and auditing of hardware use and changes, unauthorized modifications could go unnoticed. This could lead to compromised system security, data breaches, or unexpected system behavior.",,
"How likely is it that a lost or stolen hardware token is poorly constructed to authenticate an IT system, and an attacker can physically open the token and directly access the internal components to extract the secret information?",Hardware Risk,COMPANY HARDWARE,LIKELIHOOD,hardware_group_2,hardware_group_vul_21,VULNERABILITY,vul_505,physical access to hardware token components,,,"If your hardware tokens are not designed to resist tampering or disassembly, attackers could potentially open the token and directly extract the secret information, bypassing any digital protections.",,
"How likely is it that your organization would fail to implement proper documentation and tracking for changes made to hardware products, leading to a lack of transparency and accountability in the change management process?",Hardware Risk,COMPANY HARDWARE,LIKELIHOOD,hardware_group_3,hardware_group_vul_22,VULNERABILITY,vul_101,lack of proper IoT device management and monitoring," Data breach, data loss incident, IoT data disclosure, or visual information leakage",Data or Supply Chain Breach,"If your organization lacks rigorous documentation and tracking processes for changes made to hardware products, this creates a vulnerability. It reduces transparency and accountability, allowing unauthorized changes to go unnoticed and potentially leading to security vulnerabilities.",EVENT LOGGING (Hardware)   ,
How likely is it that your organization's electronic devices storing sensitive supplier information could be at risk due to insecure data storage and weak encryption practices?,Hardware Risk,USER ELECTRONICS,LIKELIHOOD,user_electronics_group,user_elc_group_vul_1,VULNERABILITY,vul_101,insecure data storage and weak encryption,"Data breach, data loss incident, IoT data disclosure, or visual information leakage",Data breach or visual information leakage,"This vulnerability arises when electronic devices in your organization store sensitive data without proper security controls, such as strong encryption methods. An attacker gaining access to the device could potentially read or misuse this sensitive data, causing a data breach.",(MP) Media Protection,
How likely is it that your organization's policies on external device usage by suppliers lack enforcement and monitoring?,Hardware Risk,USER ELECTRONICS,LIKELIHOOD,user_electronics_group,user_elc_group_vul_2,VULNERABILITY,vul_201,inadequate policy enforcement,"Data breach, data loss incident, IoT data disclosure, or visual information leakage",none, ,(MP) Media Protection,
How likely is it that your organization's IT staff lacks adequate training or resources to respond effectively to malware incidents introduced by external suppliers?,Hardware Risk,USER ELECTRONICS,LIKELIHOOD,user_electronics_group,user_elc_group_vul_3,VULNERABILITY,vul_202,insufficient IT training/resources,"Data breach, data loss incident, IoT data disclosure, or visual information leakage",none, ,(MP) Media Protection,
How likely is it that your organization lacks a robust incident response plan to address potential malware threats introduced by external suppliers?,Hardware Risk,USER ELECTRONICS,LIKELIHOOD,user_electronics_group,user_elc_group_vul_4,VULNERABILITY,vul_202,inadequate response plan,"Data breach, data loss incident, IoT data disclosure, or visual information leakage",none, ,(MP) Media Protection,
